zpid,zipcode,latitude,longitude,latestPrice,livingAreaSqFt,latest_saledate,
111373431,78660,30.43063164,-97.66307831,305000,2601,9/2/2019,
120900430,78660,30.4326725,-97.66169739,295000,1768,10/13/2020,
2084491383,78660,30.40974808,-97.63977051,256125,1478,7/31/2019,
120901374,78660,30.43211174,-97.66165924,240000,1678,8/8/2018,
60134862,78660,30.43736839,-97.65686035,239900,2132,10/31/2018,
2080105342,78660,30.43777466,-97.65618134,309045,1446,8/5/2020,
241932337,78660,30.4146843,-97.64339447,315000,2432,6/11/2020,
60134835,78660,30.43940353,-97.65803528,219900,1422,10/10/2018,
60134833,78660,30.43909645,-97.65795898,225000,1870,9/19/2019,
83827468,78617,30.16070175,-97.63812256,194800,1422,9/11/2018,
241932327,78660,30.41493416,-97.64328766,279900,1580,8/28/2020,
241930967,78617,30.159338,-97.63335419,250000,2281,4/12/2019,
69808966,78617,30.16776848,-97.62343597,239900,1762,9/5/2020,
64520966,78617,30.15428352,-97.65058136,200000,1326,12/15/2018,
83813460,78617,30.15972137,-97.63627625,131679,1655,8/18/2020,
29470450,78617,30.15768814,-97.64641571,200000,1228,6/2/2020,
70341946,78617,30.16875839,-97.61647034,212000,1752,2/27/2019,
116080992,78717,30.48640823,-97.79472351,687850,4564,8/28/2018,
88013985,78717,30.49437523,-97.79651642,409000,3233,12/3/2018,
70344594,78724,30.25570679,-97.5769577,199000,1511,12/22/2020,
185217484,78717,30.49563789,-97.79787445,400000,2228,1/10/2020,
121719682,78717,30.49025726,-97.79174042,699000,4020,12/7/2020,
116080981,78717,30.48877525,-97.79489899,549900,3494,3/13/2018,
83822421,78747,30.08774757,-97.7052002,350000,1216,3/29/2019,
29462564,78725,30.2331543,-97.58731842,240000,1534,12/31/2020,
70355992,78725,30.23806572,-97.57801819,249900,1738,12/4/2020,
89659978,78717,30.49218941,-97.79308319,400000,2630,4/22/2020,
70355990,78725,30.23823738,-97.57833099,200000,1652,1/30/2018,
70333917,78726,30.42645645,-97.85929108,875000,3402,11/9/2020,
29471292,78747,30.10340118,-97.71691132,164995,2350,10/27/2020,
241932966,78744,30.17614555,-97.69814301,287500,1634,4/18/2019,
116080975,78717,30.48899651,-97.79379272,650000,3047,3/25/2020,
145656987,78725,30.24176788,-97.57905579,196000,1399,1/10/2019,
83821490,78747,30.0850296,-97.69979095,239999,1264,8/23/2018,
70333915,78726,30.42596436,-97.85840607,830000,3573,9/17/2019,
29462467,78725,30.23158455,-97.59126282,219990,2035,6/7/2019,
89548387,78725,30.21509933,-97.63643646,195000,1304,3/28/2019,
29366912,78732,30.41598701,-97.90055847,4250000,7284,8/15/2018,
241932964,78744,30.17544556,-97.69815826,309999,1907,3/26/2018,
29376494,78726,30.4428997,-97.824646,427000,2484,3/4/2020,
69808963,78725,30.22610283,-97.59052277,205000,2088,1/25/2018,
121656950,78747,30.11837578,-97.70490265,300000,2100,11/30/2018,
185217474,78717,30.49414444,-97.79753113,344600,2134,9/5/2019,
29366911,78732,30.41670609,-97.90070343,3395000,4747,7/10/2020,
145657963,78744,30.16147995,-97.72125244,399900,2629,6/26/2020,
29370494,78750,30.42639351,-97.79273224,648000,2567,11/30/2020,
89548844,78725,30.2131176,-97.63728333,186500,1420,2/1/2018,
125901465,78725,30.23823547,-97.58043671,219000,1267,4/3/2020,
63228462,78725,30.22929382,-97.59007263,179900,1194,3/22/2018,
96639474,78729,30.46325684,-97.78580475,405000,2142,2/18/2020,
80094409,78732,30.41860008,-97.89057159,2950000,9591,10/17/2019,
64431038,78747,30.11583138,-97.71607208,565000,2169,8/1/2019,
89547842,78725,30.21501923,-97.63804626,194098,1296,3/6/2019,
251030464,78724,30.25937271,-97.58674622,255700,2570,4/5/2019,
29376491,78726,30.44238663,-97.82499695,495000,3140,6/7/2019,
241932962,78744,30.1761322,-97.69773102,325000,2068,8/18/2020,
64729016,78719,30.10301971,-97.69129944,250000,2736,8/13/2020,
70355962,78725,30.23895073,-97.5803299,198500,1807,4/13/2020,
29376490,78726,30.44222832,-97.82511139,485000,2956,10/30/2020,
29366907,78732,30.41809464,-97.90081787,5495000,8800,10/28/2020,
250825472,78717,30.49202919,-97.79917908,440000,2595,5/15/2020,
89550834,78725,30.21296501,-97.63726807,225000,1420,2/1/2019,
64674953,78725,30.24004555,-97.58735657,207900,1929,7/4/2018,
29374483,78750,30.43397141,-97.8055191,575000,2170,1/8/2021,
29461422,78725,30.23721313,-97.5835495,200000,1592,9/24/2019,
116080970,78717,30.48861694,-97.79280853,675000,3837,7/25/2019,
70333905,78726,30.42463112,-97.8576889,975000,3450,1/31/2018,
29557482,78729,30.45297623,-97.78694916,259000,1239,1/19/2019,
241932948,78744,30.17658806,-97.69738007,275000,1449,2/10/2020,
29461406,78725,30.23699188,-97.58533478,199999,1335,8/23/2019,
2081704483,78725,30.22005844,-97.63460541,268729,1514,6/29/2020,
116080962,78717,30.48804855,-97.79401398,625000,3111,7/22/2019,
29376480,78726,30.44311714,-97.82407379,435000,3113,7/24/2020,
241932946,78744,30.17620659,-97.6965332,285000,1973,12/21/2018,
29351492,78731,30.35284042,-97.79354858,399900,1487,1/31/2019,
241932900,78725,30.23677063,-97.58175659,215000,1370,8/16/2019,
29370900,78726,30.42306328,-97.86306763,519500,3055,11/4/2020,
110538990,78750,30.39213753,-97.8269043,450000,2283,8/16/2018,
29372980,78726,30.43273163,-97.82700348,463700,3115,10/2/2018,
29459947,78725,30.24313545,-97.58552551,209900,1419,3/3/2020,
241932936,78744,30.17849541,-97.6966629,375000,2682,8/31/2020,
89550803,78725,30.21564484,-97.63555145,229900,1936,6/29/2020,
29370898,78726,30.42333984,-97.8644104,549900,3794,8/24/2018,
29358990,78750,30.37599945,-97.7984848,690000,2967,1/19/2019,
116080957,78717,30.48835182,-97.79445648,584900,3787,3/18/2019,
111373282,78660,30.43100929,-97.66204071,287500,2314,6/30/2018,
29375979,78750,30.44328117,-97.79827881,599800,2753,9/30/2019,
241932935,78744,30.17821121,-97.69682312,325000,2068,9/12/2018,
80115957,78717,30.50044441,-97.79090881,350000,1791,8/26/2020,
29370894,78726,30.42362785,-97.86334991,574900,3338,3/1/2018,
121658485,78750,30.39304733,-97.82636261,374000,2283,4/22/2019,
29375978,78750,30.44368362,-97.79793549,699900,2997,10/25/2019,
145654939,78725,30.24139214,-97.57658386,205000,1225,9/20/2019,
29370884,78726,30.4257164,-97.86064148,425000,2864,9/1/2020,
29351485,78731,30.35377121,-97.79362488,425000,1573,7/17/2019,
29372475,78750,30.42850685,-97.79425049,684000,2656,10/5/2020,
