streetAddress,yearBuilt,homeAge_years,livingAreaSqFt,numOfBedrooms,numOfBathrooms
10505 Cannon Mark Way,2014,7,4564,5,6.0
15524 Staked Plains Loop,2007,14,3233,5,4.0
15217 Sabal Palm Rd,2006,15,1511,3,2.0
14004 Chisos Trl,2008,13,2228,3,2.0
14108 Laurinburg Dr,2015,6,4020,4,4.0
14405 Laurinburg Dr,2013,8,3494,4,5.0
6700 Evelyn Rd,2007,14,1216,8,5.0
14702 Menifee St,1999,22,1534,3,3.0
15303 Lucian St,2013,8,1738,3,2.0
14224 Canyon Trl,2010,11,2630,5,3.0
15207 Lucian St,2012,9,1652,3,2.0
12525 Verandah Ct,2004,17,3402,4,4.0
9601 Cliffbrook Dr,1970,51,2350,3,2.0
5509 Bonneville Bnd,2016,5,1634,3,2.0
10912 Crosbyton Ln,2013,8,3047,4,4.0
4606 Belfield Ln,2015,6,1399,3,2.0
11223 Tom Sassman Rd,1985,36,1264,3,2.0
12512 Verandah Ct,2005,16,3573,4,5.0
14500 James Vincent Dr,2000,21,2035,3,3.0
11928 Aitne Ln,2009,12,1304,3,2.0
5524 Loma Alta Dr,2016,5,1907,3,3.0
10707 Beckwood Dr,1988,33,2484,4,3.0
2703 Crownover St,2006,15,2088,4,3.0
9704 Rodriguez Rd,2013,8,2100,4,3.0
11429 Running Brush Ln,2008,13,2134,3,3.0
14503 Ridgetop Ter,1992,29,4747,5,5.0
7212 Garnet Mill Ln,2015,6,2629,3,3.0
10700 Mcfarlie Cv,1991,30,2567,4,3.0
2521 Elara Dr,2009,12,1420,3,2.0
804 Hatton Hill Ct,2015,6,1267,3,2.0
3100 Caleb Dr,2004,17,1194,3,2.0
13500 Hymeadow Cir,2011,10,2142,3,2.0
10207 Fm 1625,1993,28,2169,3,3.0
2312 Elara Dr,2014,7,1296,3,2.0
5708 Roderick Dr,2018,3,2570,4,3.0
10701 Beckwood Dr,1989,32,3140,5,3.0
5504 Loma Alta Dr,2016,5,2068,4,3.0
10044 Vallejo Plains Ln #4,1982,39,2736,4,2.0
15101 Nordyke Ln,2006,15,1807,4,2.0
10615 Beckwood Dr,1990,31,2956,5,3.0
12100 Wickline Way,2016,5,2595,5,3.0
2525 Elara Dr,2010,11,1420,3,2.0
4010 Louise Lee Dr,2003,18,1929,3,2.0
10714 Fountainbleu Cir,1976,45,2170,4,2.0
4015 Ayala Dr,1996,25,1592,3,3.0
