zpid,streetAddress,latestPrice
116080992,10505 Cannon Mark Way,687850
88013985,15524 Staked Plains Loop,409000
70344594,15217 Sabal Palm Rd,199000
185217484,14004 Chisos Trl,400000
121719682,14108 Laurinburg Dr,699000
116080981,14405 Laurinburg Dr,549900
83822421,6700 Evelyn Rd,350000
29462564,14702 Menifee St,240000
70355992,15303 Lucian St,249900
89659978,14224 Canyon Trl,400000
70355990,15207 Lucian St,200000
70333917,12525 Verandah Ct,875000
29471292,9601 Cliffbrook Dr,164995
241932966,5509 Bonneville Bnd,287500
116080975,10912 Crosbyton Ln,650000
145656987,4606 Belfield Ln,196000
83821490,11223 Tom Sassman Rd,239999
70333915,12512 Verandah Ct,830000
29462467,14500 James Vincent Dr,219990
89548387,11928 Aitne Ln,195000
241932964,5524 Loma Alta Dr,309999
29376494,10707 Beckwood Dr,427000
69808963,2703 Crownover St,205000
121656950,9704 Rodriguez Rd,300000
185217474,11429 Running Brush Ln,344600
29366911,14503 Ridgetop Ter,3395000
145657963,7212 Garnet Mill Ln,399900
29370494,10700 Mcfarlie Cv,648000
89548844,2521 Elara Dr,186500
125901465,804 Hatton Hill Ct,219000
63228462,3100 Caleb Dr,179900
96639474,13500 Hymeadow Cir,405000
64431038,10207 Fm 1625,565000
89547842,2312 Elara Dr,194098
251030464,5708 Roderick Dr,255700
29376491,10701 Beckwood Dr,495000
241932962,5504 Loma Alta Dr,325000
64729016,10044 Vallejo Plains Ln #4,250000
70355962,15101 Nordyke Ln,198500
29376490,10615 Beckwood Dr,485000
250825472,12100 Wickline Way,440000
89550834,2525 Elara Dr,225000
64674953,4010 Louise Lee Dr,207900
29374483,10714 Fountainbleu Cir,575000
29461422,4015 Ayala Dr,200000
116080970,10816 Crosbyton Ln,675000
70333905,8201 Denali Pkwy APT 2,975000
29557482,9512 Eddystone St,259000
241932948,7912 Annalise Dr,275000
29461406,14611 Highsmith St,199999
2081704483,12011 Clayton Creek Ave,268729
116080962,10701 Copper Basin Cv,625000
29376480,11204 Tanya Trl,435000
241932946,8016 Annalise Dr,285000
29351492,5602 Wolf Ct,399900
241932900,809 Silver Wing Dr,215000
29370900,12709 Cloud Mountain Xing,519500
110538990,9621 Solana Vista Loop #B,450000
29372980,11100 Amesite Trl,463700
29459947,14304 Rosseau St,209900
241932936,5217 Bonneville Bnd,375000
89550803,12008 Thyone Dr,229900
29370898,12726 Cloud Mountain Xing,549900
29358990,7003 Jester Blvd,690000
116080957,10704 Copper Basin Cv,584900
29375979,11902 Arch Hill Dr,599800
241932935,5229 Bonneville Bnd,325000
80115957,14904 Mistletoe Heights Dr,350000
29370894,12704 Cloud Mountain Xing,574900
121658485,9413 Solana Vista Loop #B,374000
29375978,11907 Arch Hill Dr,699900
145654939,4617 Cleto St,205000
29370884,8225 Phantom Canyon Dr,425000
29351485,5706 Eagle Clfs,425000
29372475,9008 Scotsman Dr,684000
185218453,10512 Dunham Forest Rd,359965
29392994,4602 Sherwyn Dr,120000
2088245915,7716 Barbary Ct,388990
29373974,8711 Crest Ridge Cir,435000
29360984,7601 Almond Cv,795000
241932874,15013 Roody Ln,218800
145551433,Esper Ln,200000
29376473,11104 Crossland Dr,368500
305430992,6217 Seville Dr,454500
29347484,4202 Plantain Cv,799000
69811366,14310 Cottingham Dr,199000
116080950,14017 Genesee Trl,622800
29370873,12619 Cloud Mountain Xing,429000
83814991,9016 Elfen Cv,259900
29375973,9010 Spring Lake Dr,629000
116080945,14109 Genesee Trl,525000
29370860,8108 Red Bird Ct,345000
249890717,1804 Rinker Ranch Dr,255000
2082177903,5501 Gooding Dr,282226
63835425,15108 Stave Oak Ln,180000
70341361,2907 Crownover St,184900
29358983,7004 Juneberry Cv,750000
29374973,11129 Rio Vista Dr,475000
89550707,2420 Kale Dr,219000
29459909,14311 Kincheloe St,229999
29375972,9012 Spring Lake Dr,415000
29396983,6021 Signal Point,175000
58299481,7609 Crossmeadow Dr,398900
145656393,7100 Auburn Blaze Ln,389900
116080940,14205 Genesee Trl,536170
29370850,8121 Endeavor Cir,665000
29459907,14307 Kincheloe St,179900
29374967,11150 Rio Vista Dr,519900
2082038175,1628 Caballo Blanco Rd,341054
29358997,7002 Anaqua Dr,428000
70341359,2903 Crownover St,185000
185217435,11704 Running Brush Cv,415000
83823977,6001 Elfen Way,249900
70352470,804 Lakewood Hills Ter,725000
145551402,4525 Esper Ln,198000
29355980,7903 Entrada Cv,550000
29465172,11901 Garden Meadow Rd,179900
58300466,11558 Spicewood Pkwy APT 10,355000
29438720,13304 Bennington Ln,310000
29459899,14201 Kincheloe St,155000
64812856,3409 Etheredge Dr,189000
70352465,904 Lakewood Hills Ter,1025000
145655881,8004 Annalise Dr,339900
2079153478,10711 Twisted Elm Dr,515000
29366849,13815 Lake View Dr,625000
185217434,11700 Running Brush Cv,339900
58265966,11108 Sandstone Trl,650000
63835398,5512 Catsby Ct,170000
70352461,1008 Lakewood Hills Ter,759900
29396970,5600 Signal Point,214500
29438718,13308 Bennington Ln,275000
29370839,8232 Phantom Canyon Dr,588000
2132333345,4515 Credo Ln,174900
29376465,11015 Conchos Cv,937000
29358978,7005 Juneberry Cv,595000
121658390,4517 Senda Ln #181,169900
89028960,12104 Montclair Bnd,625000
80093467,8917 Sun Shower Bnd,235000
250180857,7313 Coit Rd,359900
29372965,10300 Echoridge Dr,350000
185217429,11616 Running Brush Ln,449000
2089686965,5917 Florencia Ln,425900
29370836,8104 Sebastapol Cv,595000
29375964,9205 Springwood Dr,625000
116080928,14024 Abervil Trl,729000
29353976,9104 Westminster Glen Ave,993000
29459882,4604 Fallenash Dr,199000
2087922352,7112 Sentry Path,365990
29366834,13800 Lake View Dr,240000
29465145,12000 Garden Gate Dr,220000
80090962,5209 English Glade Dr,265000
29374964,11136 Rio Vista Dr,445000
70341343,3006 Crownover St,95000
70338381,15101 Chamberlain Ct,179900
29362475,7709 Jester Blvd,735000
185217426,15421 Staked Plains Loop,429900
64533962,5723 Sendero Hills Pkwy,66900
249710345,7305 Van Ness St,385000
29459881,4606 Fallenash Dr,195000
89552136,2321 Kale Dr,194900
124154926,13827 Camp Comfort Ln,459990
29396959,5710 Signal Point,229900
29353975,9100 Westminster Glen Ave,1150000
29373963,11508 Champion Dr,609900
79981880,15201 Knighten Ln,230000
251035839,7817 Bestride Bnd,439000
96636926,13016 Hymeadow Cir,375000
29396958,5716 Signal Point,225000
83820449,13221 Country Trails Ln,769000
29370826,8110 Castle Peake Trl,342000
29360969,6711 Lakewood Point Cv,715000
29375962,9209 Springwood Dr,550000
243333921,12205 Wickline Way,360000
145657839,5405 Bonneville Bnd,284900
29343949,1307 Minnie Dr,279900
29370822,8107 Castle Peake Trl,413900
69814957,3324 Pearce Rd,995000
29351469,5700 Scout Blf,415000
29344952,9402 Caracas Dr,585000
29374462,9804 Brandywine Cir,750000
145658835,5305 Ingersoll Ln,279000
70341334,2917 Caleb Dr,210000
29370820,8108 Davis Mountain Pass,369000
29392931,6309 Huntleigh Way,329900
79981874,4504 Halliday Ave,205000
29344951,9400 Caracas Dr,789000
29377461,11502 Sawatch Cir,649000
29343946,1403 Minnie Dr,150000
124154920,10821 Ballard Path,599000
145658832,5100 Ingersoll Ln,299999
29370806,12505 Presque Cv,499800
83816428,5516 Nelson Oaks Dr,238999
29343454,3503 Riva Ridge Rd,915000
29334450,1406 Mesa Ridge Ln,699000
64901960,10208 Peekston Dr,598000
29360963,7866 Lakewood Dr,465000
145658831,8000 Izetta Ln,305000
145657822,14324 Deaf Smith Blvd,254000
29370800,12600 Alberta Ridge Trl,579000
90240442,12504 Tierra Grande Trl,379000
120895447,12209 Labrador Bay Ct,649900
29375958,9307 Springwood Dr,525000
29358963,7100 Rusty Fig Dr,359000
29341440,6307 Ayres Dr,1995000
29344947,1603 Olympus Dr,714900
90240441,12500 Tierra Grande Trl,474997
89553418,14201 Canyon Trl,335000
144334371,14207 Vandever St,199950
29396923,5909 Alsace Trl,230000
121655462,7300 Colina Vista Loop #A,405000
114405939,2516 Ionian Cv,1100000
29344946,1601 Olympus Dr,559500
70338371,15102 Chamberlain Ct,199000
