zpid,latest_salemonth,latest_saleyear
116080992,8,2018
88013985,12,2018
70344594,12,2020
185217484,1,2020
121719682,12,2020
116080981,3,2018
83822421,3,2019
29462564,12,2020
70355992,12,2020
89659978,4,2020
70355990,1,2018
70333917,11,2020
29471292,10,2020
241932966,4,2019
116080975,3,2020
145656987,1,2019
83821490,8,2018
70333915,9,2019
29462467,6,2019
89548387,3,2019
241932964,3,2018
29376494,3,2020
69808963,1,2018
121656950,11,2018
185217474,9,2019
29366911,7,2020
145657963,6,2020
29370494,11,2020
89548844,2,2018
125901465,4,2020
63228462,3,2018
96639474,2,2020
64431038,8,2019
89547842,3,2019
251030464,4,2019
29376491,6,2019
241932962,8,2020
64729016,8,2020
70355962,4,2020
29376490,10,2020
250825472,5,2020
89550834,2,2019
64674953,7,2018
29374483,1,2021
29461422,9,2019
116080970,7,2019
70333905,1,2018
29557482,1,2019
241932948,2,2020
29461406,8,2019
2081704483,6,2020
116080962,7,2019
29376480,7,2020
241932946,12,2018
29351492,1,2019
241932900,8,2019
29370900,11,2020
110538990,8,2018
29372980,10,2018
29459947,3,2020
241932936,8,2020
89550803,6,2020
29370898,8,2018
29358990,1,2019
116080957,3,2019
29375979,9,2019
241932935,9,2018
80115957,8,2020
29370894,3,2018
121658485,4,2019
29375978,10,2019
145654939,9,2019
29370884,9,2020
29351485,7,2019
29372475,10,2020
185218453,7,2020
29392994,6,2018
2088245915,10,2018
29373974,10,2018
29360984,7,2020
241932874,5,2019
145551433,12,2019
29376473,3,2018
305430992,10,2020
29347484,6,2019
69811366,2,2020
116080950,12,2018
29370873,1,2020
83814991,3,2019
29375973,10,2020
116080945,2,2019
29370860,11,2020
249890717,3,2020
2082177903,2,2020
63835425,10,2018
70341361,8,2019
29358983,9,2020
29374973,11,2020
89550707,9,2019
29459909,5,2019
29375972,3,2018
29396983,12,2018
58299481,12,2020
145656393,7,2019
116080940,8,2018
29370850,11,2018
29459907,3,2018
29374967,9,2020
2082038175,12,2019
29358997,10,2019
70341359,12,2018
185217435,8,2018
83823977,6,2018
70352470,5,2019
145551402,12,2019
29355980,1,2018
29465172,6,2018
58300466,9,2020
29438720,5,2020
29459899,2,2018
64812856,6,2019
70352465,8,2020
145655881,7,2020
2079153478,7,2020
29366849,6,2020
185217434,5,2018
58265966,3,2020
63835398,4,2018
70352461,8,2019
29396970,5,2018
29438718,1,2018
29370839,5,2019
2132333345,3,2018
29376465,3,2020
29358978,6,2019
121658390,7,2018
