zpid,yearBuilt,homeAge_years,livingAreaSqFt,numOfBedrooms,numOfBathrooms
111373431,2012,9,2601,4,3.0
120900430,2013,8,1768,4,2.0
2084491383,2018,3,1478,3,2.0
120901374,2013,8,1678,3,2.0
60134862,2002,19,2132,3,3.0
2080105342,2020,1,1446,3,2.0
241932337,2016,5,2432,4,3.0
60134835,2002,19,1422,3,3.0
60134833,2002,19,1870,3,2.0
83827468,2013,8,1422,3,3.0
241932327,2016,5,1580,3,2.0
241930967,2016,5,2281,3,3.0
69808966,2005,16,1762,4,2.0
64520966,2003,18,1326,3,2.0
83813460,2010,11,1655,3,3.0
29470450,2000,21,1228,3,2.0
70341946,2009,12,1752,4,2.0
116080992,2014,7,4564,5,6.0
88013985,2007,14,3233,5,4.0
70344594,2006,15,1511,3,2.0
185217484,2008,13,2228,3,2.0
121719682,2015,6,4020,4,4.0
116080981,2013,8,3494,4,5.0
83822421,2007,14,1216,8,5.0
29462564,1999,22,1534,3,3.0
70355992,2013,8,1738,3,2.0
89659978,2010,11,2630,5,3.0
70355990,2012,9,1652,3,2.0
70333917,2004,17,3402,4,4.0
29471292,1970,51,2350,3,2.0
241932966,2016,5,1634,3,2.0
116080975,2013,8,3047,4,4.0
145656987,2015,6,1399,3,2.0
83821490,1985,36,1264,3,2.0
70333915,2005,16,3573,4,5.0
29462467,2000,21,2035,3,3.0
89548387,2009,12,1304,3,2.0
29366912,2005,16,7284,7,7.0
241932964,2016,5,1907,3,3.0
29376494,1988,33,2484,4,3.0
69808963,2006,15,2088,4,3.0
121656950,2013,8,2100,4,3.0
185217474,2008,13,2134,3,3.0
29366911,1992,29,4747,5,5.0
145657963,2015,6,2629,3,3.0
29370494,1991,30,2567,4,3.0
89548844,2009,12,1420,3,2.0
125901465,2015,6,1267,3,2.0
63228462,2004,17,1194,3,2.0
96639474,2011,10,2142,3,2.0
80094409,2006,15,9591,5,7.0
64431038,1993,28,2169,3,3.0
89547842,2014,7,1296,3,2.0
251030464,2018,3,2570,4,3.0
29376491,1989,32,3140,5,3.0
241932962,2016,5,2068,4,3.0
64729016,1982,39,2736,4,2.0
70355962,2006,15,1807,4,2.0
29376490,1990,31,2956,5,3.0
29366907,1996,25,8800,5,8.0
250825472,2016,5,2595,5,3.0
89550834,2010,11,1420,3,2.0
64674953,2003,18,1929,3,2.0
29374483,1976,45,2170,4,2.0
29461422,1996,25,1592,3,3.0
116080970,2016,5,3837,5,5.0
70333905,2011,10,3450,4,4.0
29557482,1976,45,1239,3,2.0
241932948,2016,5,1449,3,2.0
29461406,1997,24,1335,3,2.0
2081704483,2020,1,1514,3,2.0
116080962,2013,8,3111,4,3.0
29376480,1989,32,3113,4,3.0
241932946,2016,5,1973,3,3.0
29351492,1995,26,1487,2,2.0
241932900,2016,5,1370,3,2.0
29370900,2000,21,3055,4,4.0
110538990,2010,11,2283,4,3.0
29372980,1995,26,3115,4,3.0
29459947,1987,34,1419,3,2.0
241932936,2016,5,2682,7,5.0
89550803,2014,7,1936,4,3.0
29370898,2001,20,3794,4,4.0
29358990,1983,38,2967,4,3.0
116080957,2014,7,3787,5,4.0
111373282,2011,10,2314,5,3.0
29375979,1977,44,2753,5,3.0
241932935,2016,5,2068,4,3.0
80115957,2006,15,1791,3,3.0
