zpid,zipcode,latitude,longitude,yearBuilt,latestPrice,latest_saleyear,livingAreaSqFt,numOfBathrooms,numOfBedrooms,homeAge_years
111373431,78660,30.43063163757324,-97.66307830810548,2012,305000,2019,2601,3.0,4,9
120900430,78660,30.43267250061035,-97.66169738769533,2013,295000,2020,1768,2.0,4,8
2084491383,78660,30.409748077392567,-97.6397705078125,2018,256125,2019,1478,2.0,3,3
120901374,78660,30.432111740112305,-97.66165924072266,2013,240000,2018,1678,2.0,3,8
60134862,78660,30.437368392944336,-97.6568603515625,2002,239900,2018,2132,3.0,3,19
2080105342,78660,30.437774658203125,-97.65618133544922,2020,309045,2020,1446,2.0,3,1
241932337,78660,30.414684295654297,-97.64339447021484,2016,315000,2020,2432,3.0,4,5
60134835,78660,30.43940353393555,-97.65803527832033,2002,219900,2018,1422,3.0,3,19
60134833,78660,30.439096450805664,-97.657958984375,2002,225000,2019,1870,2.0,3,19
83827468,78617,30.160701751708984,-97.63812255859376,2013,194800,2018,1422,3.0,3,8
241932327,78660,30.414934158325195,-97.6432876586914,2016,279900,2020,1580,2.0,3,5
241930967,78617,30.159337997436523,-97.63335418701172,2016,250000,2019,2281,3.0,3,5
69808966,78617,30.167768478393555,-97.6234359741211,2005,239900,2020,1762,2.0,4,16
64520966,78617,30.15428352355957,-97.65058135986328,2003,200000,2018,1326,2.0,3,18
83813460,78617,30.15972137451172,-97.6362762451172,2010,131679,2020,1655,3.0,3,11
29470450,78617,30.15768814086914,-97.64641571044922,2000,200000,2020,1228,2.0,3,21
70341946,78617,30.168758392333984,-97.61647033691406,2009,212000,2019,1752,2.0,4,12
116080992,78717,30.486408233642567,-97.7947235107422,2014,687850,2018,4564,6.0,5,7
88013985,78717,30.49437522888184,-97.79651641845705,2007,409000,2018,3233,4.0,5,14
70344594,78724,30.25570678710937,-97.57695770263672,2006,199000,2020,1511,2.0,3,15
185217484,78717,30.49563789367676,-97.7978744506836,2008,400000,2020,2228,2.0,3,13
121719682,78717,30.490257263183604,-97.79174041748048,2015,699000,2020,4020,4.0,4,6
116080981,78717,30.4887752532959,-97.7948989868164,2013,549900,2018,3494,5.0,4,8
83822421,78747,30.08774757385254,-97.7052001953125,2007,350000,2019,1216,5.0,8,14
29462564,78725,30.233154296875,-97.58731842041016,1999,240000,2020,1534,3.0,3,22
70355992,78725,30.23806571960449,-97.57801818847656,2013,249900,2020,1738,2.0,3,8
89659978,78717,30.492189407348643,-97.79308319091795,2010,400000,2020,2630,3.0,5,11
70355990,78725,30.238237380981445,-97.57833099365234,2012,200000,2018,1652,2.0,3,9
70333917,78726,30.426456451416016,-97.85929107666016,2004,875000,2020,3402,4.0,4,17
29471292,78747,30.10340118408203,-97.71691131591795,1970,164995,2020,2350,2.0,3,51
241932966,78744,30.17614555358887,-97.6981430053711,2016,287500,2019,1634,2.0,3,5
116080975,78717,30.488996505737305,-97.79379272460938,2013,650000,2020,3047,4.0,4,8
145656987,78725,30.24176788330078,-97.5790557861328,2015,196000,2019,1399,2.0,3,6
83821490,78747,30.08502960205078,-97.69979095458984,1985,239999,2018,1264,2.0,3,36
70333915,78726,30.42596435546875,-97.85840606689452,2005,830000,2019,3573,5.0,4,16
29462467,78725,30.231584548950195,-97.5912628173828,2000,219990,2019,2035,3.0,3,21
89548387,78725,30.2150993347168,-97.63643646240234,2009,195000,2019,1304,2.0,3,12
29366912,78732,30.41598701477051,-97.90055847167967,2005,4250000,2018,7284,7.0,7,16
241932964,78744,30.175445556640625,-97.69815826416016,2016,309999,2018,1907,3.0,3,5
29376494,78726,30.44289970397949,-97.82464599609376,1988,427000,2020,2484,3.0,4,33
69808963,78725,30.22610282897949,-97.59052276611328,2006,205000,2018,2088,3.0,4,15
121656950,78747,30.11837577819824,-97.70490264892578,2013,300000,2018,2100,3.0,4,8
185217474,78717,30.494144439697266,-97.79753112792967,2008,344600,2019,2134,3.0,3,13
29366911,78732,30.41670608520508,-97.90070343017578,1992,3395000,2020,4747,5.0,5,29
145657963,78744,30.16147994995117,-97.72125244140624,2015,399900,2020,2629,3.0,3,6
29370494,78750,30.42639350891113,-97.79273223876952,1991,648000,2020,2567,3.0,4,30
89548844,78725,30.213117599487305,-97.63728332519533,2009,186500,2018,1420,2.0,3,12
125901465,78725,30.23823547363281,-97.58043670654295,2015,219000,2020,1267,2.0,3,6
63228462,78725,30.22929382324219,-97.59007263183594,2004,179900,2018,1194,2.0,3,17
96639474,78729,30.4632568359375,-97.78580474853516,2011,405000,2020,2142,2.0,3,10
80094409,78732,30.41860008239746,-97.89057159423828,2006,2950000,2019,9591,7.0,5,15
64431038,78747,30.11583137512207,-97.71607208251952,1993,565000,2019,2169,3.0,3,28
89547842,78725,30.21501922607422,-97.63804626464844,2014,194098,2019,1296,2.0,3,7
251030464,78724,30.25937271118164,-97.58674621582033,2018,255700,2019,2570,3.0,4,3
29376491,78726,30.442386627197266,-97.8249969482422,1989,495000,2019,3140,3.0,5,32
241932962,78744,30.17613220214844,-97.6977310180664,2016,325000,2020,2068,3.0,4,5
64729016,78719,30.10301971435547,-97.69129943847656,1982,250000,2020,2736,2.0,4,39
70355962,78725,30.23895072937012,-97.58032989501952,2006,198500,2020,1807,2.0,4,15
29376490,78726,30.442228317260746,-97.82511138916016,1990,485000,2020,2956,3.0,5,31
29366907,78732,30.41809463500977,-97.90081787109376,1996,5495000,2020,8800,8.0,5,25
250825472,78717,30.49202919006348,-97.79917907714844,2016,440000,2020,2595,3.0,5,5
89550834,78725,30.21296501159668,-97.63726806640624,2010,225000,2019,1420,2.0,3,11
64674953,78725,30.24004554748535,-97.5873565673828,2003,207900,2018,1929,2.0,3,18
29374483,78750,30.433971405029297,-97.8055191040039,1976,575000,2021,2170,2.0,4,45
29461422,78725,30.237213134765625,-97.58354949951172,1996,200000,2019,1592,3.0,3,25
116080970,78717,30.48861694335937,-97.79280853271484,2016,675000,2019,3837,5.0,5,5
70333905,78726,30.42463111877441,-97.8576889038086,2011,975000,2018,3450,4.0,4,10
29557482,78729,30.45297622680664,-97.78694915771484,1976,259000,2019,1239,2.0,3,45
241932948,78744,30.17658805847168,-97.69738006591795,2016,275000,2020,1449,2.0,3,5
29461406,78725,30.23699188232422,-97.58533477783205,1997,199999,2019,1335,2.0,3,24
2081704483,78725,30.22005844116211,-97.63460540771484,2020,268729,2020,1514,2.0,3,1
116080962,78717,30.4880485534668,-97.79401397705078,2013,625000,2019,3111,3.0,4,8
29376480,78726,30.443117141723643,-97.8240737915039,1989,435000,2020,3113,3.0,4,32
241932946,78744,30.17620658874512,-97.696533203125,2016,285000,2018,1973,3.0,3,5
29351492,78731,30.352840423583984,-97.79354858398438,1995,399900,2019,1487,2.0,2,26
241932900,78725,30.23677062988281,-97.58175659179688,2016,215000,2019,1370,2.0,3,5
29370900,78726,30.42306327819824,-97.86306762695312,2000,519500,2020,3055,4.0,4,21
110538990,78750,30.39213752746582,-97.826904296875,2010,450000,2018,2283,3.0,4,11
29372980,78726,30.43273162841797,-97.8270034790039,1995,463700,2018,3115,3.0,4,26
29459947,78725,30.24313545227051,-97.58552551269533,1987,209900,2020,1419,2.0,3,34
241932936,78744,30.17849540710449,-97.69666290283205,2016,375000,2020,2682,5.0,7,5
89550803,78725,30.21564483642578,-97.63555145263672,2014,229900,2020,1936,3.0,4,7
29370898,78726,30.42333984375,-97.86441040039062,2001,549900,2018,3794,4.0,4,20
29358990,78750,30.375999450683604,-97.7984848022461,1983,690000,2019,2967,3.0,4,38
116080957,78717,30.48835182189941,-97.7944564819336,2014,584900,2019,3787,4.0,5,7
111373282,78660,30.43100929260254,-97.66204071044922,2011,287500,2018,2314,3.0,5,10
29375979,78750,30.44328117370605,-97.79827880859376,1977,599800,2019,2753,3.0,5,44
241932935,78744,30.178211212158203,-97.6968231201172,2016,325000,2018,2068,3.0,4,5
80115957,78717,30.500444412231445,-97.79090881347656,2006,350000,2020,1791,3.0,3,15
29370894,78726,30.423627853393555,-97.86334991455078,2001,574900,2018,3338,4.0,4,20
121658485,78750,30.393047332763672,-97.82636260986328,2013,374000,2019,2283,3.0,4,8
29375978,78750,30.443683624267567,-97.79793548583984,1977,699900,2019,2997,3.0,4,44
145654939,78725,30.24139213562012,-97.57658386230467,2017,205000,2019,1225,2.0,3,4
29370884,78726,30.425716400146484,-97.8606414794922,2002,425000,2020,2864,3.0,5,19
29351485,78731,30.3537712097168,-97.79362487792967,1984,425000,2019,1573,2.0,3,37
29372475,78750,30.42850685119629,-97.79425048828124,1988,684000,2020,2656,3.0,4,33
185218453,78717,30.493675231933604,-97.7860107421875,2002,359965,2020,1975,3.0,4,19
29392994,78725,30.28166007995605,-97.66173553466795,1971,120000,2018,1745,2.0,4,50
111371253,78660,30.431062698364247,-97.66221618652344,2011,225000,2018,1375,2.0,3,10
2088245915,78744,30.16103935241699,-97.71595001220705,2017,388990,2018,2502,3.0,4,4
29373974,78750,30.435590744018555,-97.78577423095705,1972,435000,2018,2313,2.0,4,49
29360984,78750,30.38071632385254,-97.78955841064452,1989,795000,2020,2700,3.0,4,32
241932874,78725,30.236482620239247,-97.58241271972656,2016,218800,2019,1480,2.0,3,5
145551433,78725,30.2393798828125,-97.57323455810548,2015,200000,2019,1321,3.0,3,6
29376473,78726,30.44245338439941,-97.82276916503906,1989,368500,2018,2267,2.0,4,32
305430992,78724,30.29319190979004,-97.6419677734375,2018,454500,2020,2508,3.0,3,3
251030246,78660,30.41343116760254,-97.6442642211914,2017,285000,2020,1791,2.0,3,4
29347484,78730,30.35632514953613,-97.83723449707033,1996,799000,2019,4491,7.0,5,25
69811366,78725,30.23320579528809,-97.5913543701172,2010,199000,2020,1268,2.0,3,11
116080950,78717,30.48777961730957,-97.7927703857422,2014,622800,2018,2903,3.0,3,7
29370873,78726,30.423702239990234,-97.86214447021484,2000,429000,2020,3033,4.0,4,21
83814991,78724,30.283544540405284,-97.62621307373048,2009,259900,2019,2573,3.0,3,12
29375973,78750,30.438554763793945,-97.7947235107422,1977,629000,2020,2340,3.0,4,44
116080945,78717,30.48757362365723,-97.7937240600586,2014,525000,2019,3187,3.0,4,7
29370860,78726,30.424427032470703,-97.86241912841795,2002,345000,2020,3675,4.0,5,19
249890717,78725,30.21903991699219,-97.6354522705078,2017,255000,2020,1641,2.0,3,4
2082177903,78744,30.17507362365723,-97.6934585571289,2019,282226,2020,1413,2.0,3,2
63835425,78724,30.252227783203125,-97.5805206298828,2004,180000,2018,1326,2.0,3,17
70341361,78725,30.227558135986328,-97.58959197998048,2005,184900,2019,1203,2.0,3,16
29358983,78750,30.37546539306641,-97.79732513427734,1982,750000,2020,2922,4.0,3,39
29374973,78726,30.43508529663086,-97.82764434814452,1996,475000,2020,2428,3.0,3,25
89550707,78725,30.213565826416016,-97.63741302490234,2010,219000,2019,1256,2.0,3,11
114405230,78660,30.431062698364247,-97.66323852539062,2011,293300,2019,3047,3.0,3,10
29459909,78725,30.24378967285156,-97.5844955444336,1988,229999,2019,1712,3.0,3,33
29375972,78750,30.43881416320801,-97.79473876953124,1975,415000,2018,2234,3.0,3,46
29396983,78724,30.29134750366211,-97.64522552490234,1980,175000,2018,1315,2.0,3,41
58299481,78750,30.37837791442871,-97.78571319580078,1971,398900,2020,2089,2.0,3,50
145656393,78744,30.161739349365234,-97.71949768066406,2016,389900,2019,3319,3.0,5,5
116080940,78717,30.48785781860352,-97.7947006225586,2013,536170,2018,3415,4.0,5,8
29370850,78726,30.424415588378903,-97.86055755615234,2001,665000,2018,4137,4.0,5,20
29459907,78725,30.24393081665039,-97.58484649658205,1987,179900,2018,1587,2.0,4,34
29374967,78726,30.436147689819336,-97.82756805419922,1994,519900,2020,2766,3.0,4,27
2082038175,78725,30.220149993896484,-97.63470458984376,2019,341054,2019,2643,3.0,4,2
29358997,78750,30.376209259033203,-97.7973175048828,1984,428000,2019,2576,3.0,3,37
70341359,78725,30.22736740112305,-97.58971405029295,2005,185000,2018,1203,2.0,3,16
185217435,78717,30.49654769897461,-97.7974853515625,2008,415000,2018,3257,4.0,5,13
120898222,78660,30.43280029296875,-97.6619644165039,2013,299900,2020,2505,3.0,4,8
83823977,78724,30.28300094604492,-97.6276397705078,2009,249900,2018,1659,3.0,3,12
70352470,78732,30.35407638549805,-97.91303253173828,2006,725000,2019,3486,4.0,4,15
145551402,78725,30.23840713500977,-97.57384490966795,2015,198000,2019,1321,3.0,3,6
29355980,78730,30.37429428100586,-97.80758666992188,1984,550000,2018,2100,2.0,3,37
29465172,78725,30.22450065612793,-97.62870025634766,1995,179900,2018,1500,2.0,3,26
58300466,78750,30.444562911987305,-97.80654907226562,2000,355000,2020,1616,3.0,3,21
29438720,78753,30.40708923339844,-97.64974975585938,1993,310000,2020,2046,2.0,4,28
29459899,78725,30.24452972412109,-97.58594512939452,1987,155000,2018,1411,2.0,3,34
64812856,78725,30.232646942138672,-97.59120178222656,2004,189000,2019,1892,3.0,3,17
70352465,78732,30.355552673339844,-97.91254425048828,2007,1025000,2020,4558,5.0,5,14
145655881,78744,30.1763916015625,-97.69696044921876,2016,339900,2020,2095,2.0,3,5
2079153478,78726,30.399572372436523,-97.84323120117188,2016,515000,2020,2623,3.0,4,5
29366849,78732,30.415252685546875,-97.88896942138672,1987,625000,2020,1947,2.0,2,34
185217434,78717,30.49635887145996,-97.797607421875,2008,339900,2018,2192,2.0,3,13
58265966,78750,30.452693939208984,-97.81514739990234,2001,650000,2020,3352,3.0,5,20
63835398,78724,30.25343894958496,-97.58031463623048,2004,170000,2018,1268,2.0,3,17
70352461,78732,30.35622596740723,-97.91169738769533,2009,759900,2019,4867,4.0,4,12
29396970,78724,30.288440704345703,-97.64766693115234,1980,214500,2018,1306,2.0,3,41
29438718,78753,30.40733528137207,-97.64958953857422,1993,275000,2018,2398,3.0,4,28
29370839,78726,30.426279067993164,-97.86062622070312,2001,588000,2019,4274,4.0,4,20
2132333345,78725,30.23693084716797,-97.5716781616211,2010,174900,2018,1372,3.0,3,11
29376465,78726,30.44224166870117,-97.82142639160156,1999,937000,2020,3695,4.0,4,22
29358978,78750,30.37502479553223,-97.79694366455078,1983,595000,2019,2448,2.0,4,38
121658390,78725,30.23735237121582,-97.57234954833984,2013,169900,2018,1250,3.0,2,8
89028960,78732,30.341896057128903,-97.90794372558594,2009,625000,2019,3485,4.0,5,12
80093467,78724,30.27799987792969,-97.63249969482422,2006,235000,2019,1526,2.0,3,15
250180857,78744,30.15862846374512,-97.71546173095705,2017,359900,2019,2124,2.0,3,4
29372965,78750,30.431196212768555,-97.81404876708984,1992,350000,2019,2965,3.0,4,29
185217429,78717,30.49615478515625,-97.79851531982422,2008,449000,2019,3205,4.0,5,13
89551997,78732,30.351436614990234,-97.9140396118164,2008,1799000,2018,5449,5.0,5,13
29353978,78730,30.36469078063965,-97.83673858642578,1999,1499000,2020,5099,5.0,5,22
2089686965,78724,30.290372848510746,-97.6427764892578,2018,425900,2019,2403,3.0,3,3
29370836,78726,30.42441177368164,-97.8601531982422,2001,595000,2019,3939,4.0,5,20
29375964,78750,30.44091606140137,-97.79505920410156,1976,625000,2020,2116,3.0,3,45
116080928,78717,30.48698425292969,-97.79361724853516,2013,729000,2020,3409,3.0,4,8
29353976,78730,30.36399841308593,-97.83609008789062,1998,993000,2018,3848,4.0,5,23
29459882,78725,30.244930267333984,-97.58519744873048,1987,199000,2018,1786,2.0,4,34
2087922352,78744,30.16120529174805,-97.71661376953124,2018,365990,2019,2289,3.0,3,3
29366834,78732,30.416173934936523,-97.88702392578124,1975,240000,2018,596,1.0,2,46
29465145,78725,30.22534942626953,-97.62696838378906,1983,220000,2020,1554,2.0,4,38
80090962,78724,30.27394294738769,-97.63169860839844,2007,265000,2020,1704,2.0,3,14
29374964,78726,30.4356632232666,-97.82742309570312,1996,445000,2020,2852,3.0,3,25
120896203,78660,30.432939529418945,-97.6622543334961,2013,315000,2020,2505,2.5,4,8
70341343,78725,30.228349685668945,-97.58968353271484,2005,95000,2018,2088,3.0,4,16
70338381,78724,30.25310707092285,-97.57906341552734,2005,179900,2018,1206,2.0,3,16
29362475,78750,30.386159896850582,-97.79894256591795,1988,735000,2019,3119,3.0,4,33
185217426,78717,30.495710372924805,-97.7973403930664,2008,429900,2020,2191,2.0,3,13
124843021,78732,30.33895874023437,-97.9269790649414,2014,4100000,2020,9866,10.0,6,7
64533962,78724,30.29021453857422,-97.64751434326172,2003,66900,2018,1160,2.0,3,18
249710345,78744,30.15879249572754,-97.71443939208984,2018,385000,2020,2420,3.0,4,3
29459881,78725,30.24505043029785,-97.58512115478516,1987,195000,2018,2094,3.0,4,34
83814445,78726,30.428436279296875,-97.85681915283205,2006,1225000,2020,5027,5.0,4,15
89552136,78725,30.214155197143555,-97.63653564453124,2010,194900,2019,1096,2.0,3,11
124154926,78717,30.486351013183604,-97.78875732421876,2016,459990,2020,2425,3.0,3,5
29396959,78724,30.28887176513672,-97.64627838134766,1980,229900,2019,1320,2.0,3,41
2087686692,78660,30.41032409667969,-97.64022064208984,2017,289000,2020,1780,2.0,4,4
89545951,78732,30.37109184265137,-97.91260528564452,2012,5474997,2019,7740,8.0,6,9
29353975,78730,30.36372184753418,-97.83583068847656,1999,1150000,2019,4878,5.0,5,22
29373963,78750,30.435476303100582,-97.78872680664062,1972,609900,2019,2873,3.0,4,49
79981880,78725,30.23963165283203,-97.5785903930664,2014,230000,2019,1652,2.0,3,7
251035839,78744,30.1521110534668,-97.71968841552734,2019,439000,2020,2501,3.0,4,2
96636926,78729,30.46333312988281,-97.78795623779295,2012,375000,2018,2406,2.0,3,9
29396958,78724,30.28889465332031,-97.64612579345705,1980,225000,2020,1306,2.0,3,41
83820449,78732,30.37158966064453,-97.90799713134766,2006,769000,2018,4362,4.0,4,15
29370826,78726,30.42425537109375,-97.8611068725586,1989,342000,2019,1540,2.0,3,32
29360969,78750,30.37984085083008,-97.79019927978516,1990,715000,2019,2463,3.0,3,31
