zpid,latest_saleyear,latestPrice
111373431,2019,305000
120900430,2020,295000
2084491383,2019,256125
120901374,2018,240000
60134862,2018,239900
2080105342,2020,309045
241932337,2020,315000
60134835,2018,219900
60134833,2019,225000
83827468,2018,194800
241932327,2020,279900
241930967,2019,250000
69808966,2020,239900
64520966,2018,200000
83813460,2020,131679
29470450,2020,200000
70341946,2019,212000
116080992,2018,687850
88013985,2018,409000
70344594,2020,199000
185217484,2020,400000
121719682,2020,699000
116080981,2018,549900
83822421,2019,350000
29462564,2020,240000
70355992,2020,249900
89659978,2020,400000
70355990,2018,200000
70333917,2020,875000
29471292,2020,164995
241932966,2019,287500
116080975,2020,650000
145656987,2019,196000
83821490,2018,239999
70333915,2019,830000
29462467,2019,219990
89548387,2019,195000
29366912,2018,4250000
241932964,2018,309999
29376494,2020,427000
69808963,2018,205000
121656950,2018,300000
185217474,2019,344600
29366911,2020,3395000
145657963,2020,399900
29370494,2020,648000
89548844,2018,186500
125901465,2020,219000
63228462,2018,179900
96639474,2020,405000
80094409,2019,2950000
64431038,2019,565000
89547842,2019,194098
251030464,2019,255700
29376491,2019,495000
241932962,2020,325000
64729016,2020,250000
70355962,2020,198500
29376490,2020,485000
29366907,2020,5495000
250825472,2020,440000
89550834,2019,225000
64674953,2018,207900
29374483,2021,575000
29461422,2019,200000
116080970,2019,675000
70333905,2018,975000
29557482,2019,259000
241932948,2020,275000
29461406,2019,199999
2081704483,2020,268729
116080962,2019,625000
29376480,2020,435000
241932946,2018,285000
29351492,2019,399900
241932900,2019,215000
29370900,2020,519500
110538990,2018,450000
29372980,2018,463700
29459947,2020,209900
241932936,2020,375000
89550803,2020,229900
29370898,2018,549900
29358990,2019,690000
116080957,2019,584900
111373282,2018,287500
29375979,2019,599800
241932935,2018,325000
80115957,2020,350000
29370894,2018,574900
121658485,2019,374000
29375978,2019,699900
145654939,2019,205000
29370884,2020,425000
29351485,2019,425000
29372475,2020,684000
185218453,2020,359965
29392994,2018,120000
111371253,2018,225000
2088245915,2018,388990
29373974,2018,435000
29360984,2020,795000
241932874,2019,218800
145551433,2019,200000
29376473,2018,368500
305430992,2020,454500
251030246,2020,285000
29347484,2019,799000
69811366,2020,199000
116080950,2018,622800
29370873,2020,429000
83814991,2019,259900
29375973,2020,629000
116080945,2019,525000
29370860,2020,345000
249890717,2020,255000
2082177903,2020,282226
